"Census Tract","Census Block Group","County","County ID","Region","Economic Domain Score (by region)","Environmental Domain Score (by region)","Education Domain Score (by region)","Composite Index Score","Final Category"
"06081606900","#N/A","San Mateo","06081","Bay Area Region","0.842","0.842","0.816","0.629","Highest Resource"
"06081607000","#N/A","San Mateo","06081","Bay Area Region","0.88","0.953","0.474","0.402","High Resource"
"06081607100","#N/A","San Mateo","06081","Bay Area Region","0.789","0.852","0.562","0.368","High Resource"
"06081607200","#N/A","San Mateo","06081","Bay Area Region","0.609","0.548","0.514","0.146","Moderate Resource"
"06081607300","#N/A","San Mateo","06081","Bay Area Region","0.748","0.833","0.474","0.253","High Resource"
"06081607400","#N/A","San Mateo","06081","Bay Area Region","0.601","0.507","0.5","0.119","Moderate Resource"
"06081607500","#N/A","San Mateo","06081","Bay Area Region","0.743","0.084","0.607","0.14","Moderate Resource"
"06081607600","#N/A","San Mateo","06081","Bay Area Region","0.679","0.094","0.378","-0.114","Moderate Resource"
"06081607701","#N/A","San Mateo","06081","Bay Area Region","0.267","0.225","0.435","-0.25","Moderate Resource"
"06081607702","#N/A","San Mateo","06081","Bay Area Region","0.285","0.122","0.413","-0.312","Low Resource"
"06081607800","#N/A","San Mateo","06081","Bay Area Region","0.677","0.108","0.413","-0.063","Moderate Resource"
"06081607900","#N/A","San Mateo","06081","Bay Area Region","0.598","0.518","0.495","0.117","Moderate Resource"
"06081608001","#N/A","San Mateo","06081","Bay Area Region","0.595","0.794","0.901","0.549","Highest Resource"
"06081608002","#N/A","San Mateo","06081","Bay Area Region","0.808","0.742","0.901","0.671","Highest Resource"
"06081608004","#N/A","San Mateo","06081","Bay Area Region","0.664","0.468","0.913","0.538","Highest Resource"
"06081608013","#N/A","San Mateo","06081","Bay Area Region","0.772","0.655","0.919","0.644","Highest Resource"
"06081608023","#N/A","San Mateo","06081","Bay Area Region","0.818","0.665","0.88","0.639","Highest Resource"
"06081608100","#N/A","San Mateo","06081","Bay Area Region","0.734","0.706","0.906","0.619","Highest Resource"
"06081608200","#N/A","San Mateo","06081","Bay Area Region","0.713","0.629","0.869","0.544","Highest Resource"
"06081608300","#N/A","San Mateo","06081","Bay Area Region","0.816","0.84","0.892","0.694","Highest Resource"
"06081608400","#N/A","San Mateo","06081","Bay Area Region","0.608","0.126","0.749","0.205","High Resource"
"06081608501","#N/A","San Mateo","06081","Bay Area Region","0.639","0.262","0.635","0.21","High Resource"
"06081608502","#N/A","San Mateo","06081","Bay Area Region","0.791","0.62","0.878","0.61","Highest Resource"
"06081608600","#N/A","San Mateo","06081","Bay Area Region","0.677","0.222","0.878","0.435","High Resource"
"06081608700","#N/A","San Mateo","06081","Bay Area Region","0.857","0.741","0.926","0.74","Highest Resource"
"06081608800","#N/A","San Mateo","06081","Bay Area Region","0.84","0.957","0.684","0.568","Highest Resource"
"06081608900","#N/A","San Mateo","06081","Bay Area Region","0.816","0.971","0.891","0.752","Highest Resource"
"06081609000","#N/A","San Mateo","06081","Bay Area Region","0.675","0.812","0.935","0.639","Highest Resource"
"06081609100","#N/A","San Mateo","06081","Bay Area Region","0.725","0.033","0.916","0.318","High Resource"
"06081609201","#N/A","San Mateo","06081","Bay Area Region","0.896","0.46","0.9","0.692","Highest Resource"
"06081609202","#N/A","San Mateo","06081","Bay Area Region","0.621","0.593","0.888","0.512","Highest Resource"
"06081609300","#N/A","San Mateo","06081","Bay Area Region","0.889","0.808","0.923","0.775","Highest Resource"
"06081609400","#N/A","San Mateo","06081","Bay Area Region","0.927","0.931","0.873","0.806","Highest Resource"
"06081609500","#N/A","San Mateo","06081","Bay Area Region","0.914","0.978","0.896","0.858","Highest Resource"
"06081609601","#N/A","San Mateo","06081","Bay Area Region","0.916","0.995","0.886","0.883","Highest Resource"
"06081609602","#N/A","San Mateo","06081","Bay Area Region","0.89","0.988","0.822","0.758","Highest Resource"
"06081609603","#N/A","San Mateo","06081","Bay Area Region","0.864","0.984","0.813","0.716","Highest Resource"
"06081609700","#N/A","San Mateo","06081","Bay Area Region","0.893","0.937","0.664","0.59","Highest Resource"
"06081609800","#N/A","San Mateo","06081","Bay Area Region","0.72","0.899","0.642","0.422","High Resource"
"06081609900","#N/A","San Mateo","06081","Bay Area Region","0.878","0.882","0.661","0.55","Highest Resource"
"06081610000","#N/A","San Mateo","06081","Bay Area Region","0.802","0.64","0.753","0.497","High Resource"
"06081610100","#N/A","San Mateo","06081","Bay Area Region","0.495","0.24","0.854","0.304","High Resource"
"06081610201","#N/A","San Mateo","06081","Bay Area Region","0.198","0.039","0.211","-0.71","Low Resource"
"06081610202","#N/A","San Mateo","06081","Bay Area Region","0.874","0.041","0.437","0.006","Moderate Resource"
"06081610203","#N/A","San Mateo","06081","Bay Area Region","0.226","0.168","0.437","-0.309","Low Resource"
"06081610302","#N/A","San Mateo","06081","Bay Area Region","0.208","0.017","0.211","-0.818","Low Resource"
"06081610303","#N/A","San Mateo","06081","Bay Area Region","0.848","0.828","0.915","0.736","Highest Resource"
"06081610304","#N/A","San Mateo","06081","Bay Area Region","0.651","0.66","0.908","0.565","Highest Resource"
"06081610400","#N/A","San Mateo","06081","Bay Area Region","0.188","0.172","0.278","-0.513","Low Resource"
"06081610500","#N/A","San Mateo","06081","Bay Area Region","0.223","0.199","0.281","-0.468","Low Resource"
"06081610601","#N/A","San Mateo","06081","Bay Area Region","0.194","0.486","0.207","-0.469","Low Resource"
"06081610602","#N/A","San Mateo","06081","Bay Area Region","0.459","0.685","0.202","-0.235","Moderate Resource"
"06081610700","#N/A","San Mateo","06081","Bay Area Region","0.452","0.595","0.255","-0.202","Moderate Resource"
"06081610800","#N/A","San Mateo","06081","Bay Area Region","0.293","0.569","0.576","-0.002","Moderate Resource"
"06081610900","#N/A","San Mateo","06081","Bay Area Region","0.307","0.398","0.437","-0.16","Moderate Resource"
"06081611000","#N/A","San Mateo","06081","Bay Area Region","0.58","0.797","0.405","0.076","Moderate Resource"
"06081611100","#N/A","San Mateo","06081","Bay Area Region","0.863","0.896","0.578","0.457","High Resource"
"06081611200","#N/A","San Mateo","06081","Bay Area Region","0.75","0.8","0.411","0.187","Moderate Resource"
"06081611300","#N/A","San Mateo","06081","Bay Area Region","0.739","0.775","0.468","0.231","High Resource"
"06081611400","#N/A","San Mateo","06081","Bay Area Region","0.733","0.637","0.401","0.134","Moderate Resource"
"06081611500","#N/A","San Mateo","06081","Bay Area Region","0.808","0.744","0.61","0.407","High Resource"
"06081611600","#N/A","San Mateo","06081","Bay Area Region","0.923","0.208","0.518","0.282","High Resource"
"06081611700","#N/A","San Mateo","06081","Bay Area Region","0.271","0.145","0.375","-0.355","Low Resource"
"06081611800","#N/A","San Mateo","06081","Bay Area Region","0.147","0.13","0.215","-0.649","Low Resource"
"06081611900","#N/A","San Mateo","06081","Bay Area Region","0.409","0.102","0.487","-0.175","Moderate Resource"
"06081612000","#N/A","San Mateo","06081","Bay Area Region","0.2","0.092","0.181","-0.657","Low Resource"
"06081612100","#N/A","San Mateo","06081","Bay Area Region","0.287","0.14","0.597","-0.125","Moderate Resource"
"06081612500","#N/A","San Mateo","06081","Bay Area Region","0.909","0.339","0.629","0.425","High Resource"
"06081612600","#N/A","San Mateo","06081","Bay Area Region","0.967","0.502","0.897","0.785","Highest Resource"
"06081612700","#N/A","San Mateo","06081","Bay Area Region","0.847","0.667","0.904","0.689","Highest Resource"
"06081612800","#N/A","San Mateo","06081","Bay Area Region","0.882","0.694","0.831","0.646","Highest Resource"
"06081612900","#N/A","San Mateo","06081","Bay Area Region","0.906","0.827","0.663","0.565","Highest Resource"
"06081613000","#N/A","San Mateo","06081","Bay Area Region","0.706","0.421","0.769","0.4","High Resource"
"06081613200","#N/A","San Mateo","06081","Bay Area Region","0.814","0.782","0.956","0.741","Highest Resource"
"06081613300","#N/A","San Mateo","06081","Bay Area Region","0.8","0.749","0.758","0.521","Highest Resource"
"06081613400","#N/A","San Mateo","06081","Bay Area Region","0.884","0.832","0.819","0.663","Highest Resource"
"06081613900","#N/A","San Mateo","06081","Bay Area Region","0.756","0.381","0.463","0.152","Moderate Resource"
"06081614000","#N/A","San Mateo","06081","Bay Area Region","0.657","0.83","0.77","0.462","High Resource"
"06081984300","#N/A","San Mateo","06081","Bay Area Region","#N/A","#N/A","#N/A","#N/A","#N/A"
"06081990100","#N/A","San Mateo","06081","Bay Area Region","#N/A","#N/A","#N/A","#N/A","#N/A"
"06083000101","#N/A","Santa Barbara","06083","Central Coast Region","0.366","0.29","0.786","0.13","Moderate Resource"
"06083000102","#N/A","Santa Barbara","06083","Central Coast Region","0.82","0.62","0.935","0.641","Highest Resource"
"06083000103","#N/A","Santa Barbara","06083","Central Coast Region","0.93","0.693","0.98","0.798","Highest Resource"
"06083000200","#N/A","Santa Barbara","06083","Central Coast Region","0.907","0.442","0.487","0.29","High Resource"
"06083000301","#N/A","Santa Barbara","06083","Central Coast Region","0.631","0.549","0.377","0.024","Moderate Resource"
"06083000302","#N/A","Santa Barbara","06083","Central Coast Region","0.761","0.566","0.451","0.17","Moderate Resource"
"06083000400","#N/A","Santa Barbara","06083","Central Coast Region","0.997","0.82","0.479","0.57","Highest Resource"
"06083000501","#N/A","Santa Barbara","06083","Central Coast Region","0.969","0.879","0.501","0.52","Highest Resource"
"06083000502","#N/A","Santa Barbara","06083","Central Coast Region","0.921","0.715","0.639","0.514","Highest Resource"
"06083000600","#N/A","Santa Barbara","06083","Central Coast Region","0.975","0.73","0.414","0.357","High Resource"
"06083000700","#N/A","Santa Barbara","06083","Central Coast Region","0.983","0.831","0.462","0.506","Highest Resource"
"06083000801","#N/A","Santa Barbara","06083","Central Coast Region","0.654","0.09","0.282","-0.231","Moderate Resource"
"06083000804","#N/A","Santa Barbara","06083","Central Coast Region","0.558","0.011","0.282","-0.48","Low Resource"
"06083000900","#N/A","Santa Barbara","06083","Central Coast Region","0.685","0.039","0.414","-0.229","Moderate Resource"
"06083001000","#N/A","Santa Barbara","06083","Central Coast Region","0.648","0.073","0.338","-0.215","Moderate Resource"
"06083001101","#N/A","Santa Barbara","06083","Central Coast Region","0.406","0.417","0.403","-0.158","Moderate Resource"
"06083001102","#N/A","Santa Barbara","06083","Central Coast Region","0.355","0.42","0.225","-0.354","Low Resource"
"06083001203","#N/A","Santa Barbara","06083","Central Coast Region","0.656","0.721","0.499","0.222","High Resource"
"06083001206","#N/A","Santa Barbara","06083","Central Coast Region","0.473","0.062","0.473","-0.165","Moderate Resource"
"06083001208","#N/A","Santa Barbara","06083","Central Coast Region","0.623","0.727","0.485","0.197","High Resource"
"06083001304","#N/A","Santa Barbara","06083","Central Coast Region","0.825","0.679","0.29","0.088","Moderate Resource"
"06083001306","#N/A","Santa Barbara","06083","Central Coast Region","0.521","0.642","0.363","-0.027","Moderate Resource"
"06083001402","#N/A","Santa Barbara","06083","Central Coast Region","0.944","0.792","0.89","0.755","Highest Resource"
"06083001500","#N/A","Santa Barbara","06083","Central Coast Region","0.98","0.963","0.966","0.973","Highest Resource"
"06083002005","#N/A","Santa Barbara","06083","Central Coast Region","0.397","0.961","0.628","0.232","High Resource"
"06083002006","#N/A","Santa Barbara","06083","Central Coast Region","0.479","0.006","0.597","-0.24","Moderate Resource"
"06083002007","#N/A","Santa Barbara","06083","Central Coast Region","0.372","0.349","0.47","-0.095","Moderate Resource"
"06083002008","#N/A","Santa Barbara","06083","Central Coast Region","0.394","0.873","0.58","0.185","High Resource"
"06083002009","#N/A","Santa Barbara","06083","Central Coast Region","0.22","0.915","0.518","0.031","Moderate Resource"
"06083002010","#N/A","Santa Barbara","06083","Central Coast Region","0.423","0.966","0.597","0.242","High Resource"
"06083002011","#N/A","Santa Barbara","06083","Central Coast Region","0.135","0.031","0.445","-0.59","Low Resource"
"06083002012","#N/A","Santa Barbara","06083","Central Coast Region","0.361","0.786","0.654","0.178","Moderate Resource"
"06083002013","#N/A","Santa Barbara","06083","Central Coast Region","0.614","0.575","0.631","0.267","High Resource"
"06083002101","#N/A","Santa Barbara","06083","Central Coast Region","0.192","0.338","0.307","-0.424","Low Resource"
"06083002102","#N/A","Santa Barbara","06083","Central Coast Region","0.186","0.583","0.33","-0.341","Low Resource"
"06083002103","#N/A","Santa Barbara","06083","Central Coast Region","0.056","0.69","0.287","-0.506","Low Resource"
"06083002205","#N/A","Santa Barbara","06083","Central Coast Region","0.045","0.704","0.332","-0.484","Low Resource"
"06083002206","#N/A","Santa Barbara","06083","Central Coast Region","0.062","0.513","0.279","-0.555","Low Resource"
"06083002209","#N/A","Santa Barbara","06083","Central Coast Region","0.161","0.507","0.332","-0.38","Low Resource"
"06083002210","#N/A","Santa Barbara","06083","Central Coast Region","0.262","0.558","0.358","-0.258","Moderate Resource"
"06083002211","#N/A","Santa Barbara","06083","Central Coast Region","0.496","0.256","0.358","-0.163","Moderate Resource"
"06083002303","#N/A","Santa Barbara","06083","Central Coast Region","0.113","0.769","0.138","-0.516","Low Resource"
"06083002304","#N/A","Santa Barbara","06083","Central Coast Region","0.051","0.524","0.22","-0.622","Low Resource"
"06083002305","#N/A","Santa Barbara","06083","Central Coast Region","0.155","0.789","0.223","-0.393","Low Resource"
"06083002306","#N/A","Santa Barbara","06083","Central Coast Region","0.217","0.152","0.341","-0.455","Low Resource"
"06083002402","#N/A","Santa Barbara","06083","Central Coast Region","0.104","0.008","0.293","-0.823","Low Resource"
"06083002403","#N/A","Santa Barbara","06083","Central Coast Region","0.065","0.279","0.239","-0.647","Low Resource"
"06083002404","#N/A","Santa Barbara","06083","Central Coast Region","0.054","0.761","0.237","-0.535","Low Resource"
"06083002604","#N/A","Santa Barbara","06083","Central Coast Region","#N/A","#N/A","#N/A","#N/A","#N/A"
"06083002702","#N/A","Santa Barbara","06083","Central Coast Region","0.008","0.797","0.38","#N/A","High Segregation & Poverty"
"06083002703","#N/A","Santa Barbara","06083","Central Coast Region","0.059","0.856","0.31","-0.436","Low Resource"
"06083002705","#N/A","Santa Barbara","06083","Central Coast Region","0.017","0.834","0.321","-0.506","Low Resource"
"06083002706","#N/A","Santa Barbara","06083","Central Coast Region","0.039","0.87","0.259","-0.487","Low Resource"
"06083002707","#N/A","Santa Barbara","06083","Central Coast Region","0.194","0.885","0.352","-0.216","Moderate Resource"
